date,inflation_regime,growth_regime,labour_regime,curve_state,macro_supports_duration
2025-12-27 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-01-07 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-07 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-07 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-08 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-09 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-10 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-13 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-13 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-13 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-01-14 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-01-16 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-01-17 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-01-23 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-01-24 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-02-02 00:00:00+00:00,DIS,OK,OK,NORM,False
2026-03-03 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-03-03 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-03-04 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-03-05 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-03-05 00:00:00+00:00,NEU,OK,OK,NORM,False
2026-03-06 00:00:00+00:00,NEU,OK,WEAK,NORM,True
2026-03-08 00:00:00+00:00,NEU,OK,WEAK,NORM,True
2026-03-09 00:00:00+00:00,NEU,OK,WEAK,NORM,True
2026-03-10 00:00:00+00:00,NEU,OK,WEAK,NORM,True
2026-03-11 00:00:00+00:00,NEU,OK,WEAK,NORM,True
2026-03-17 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-18 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-21 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-21 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-21 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-21 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-21 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-21 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-21 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-23 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-23 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-23 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-23 00:00:00+00:00,INF,OK,WEAK,NORM,True
2026-03-26 00:00:00+00:00,INF,SLOW,WEAK,NORM,True
2026-03-27 00:00:00+00:00,INF,SLOW,WEAK,NORM,True
2026-03-28 00:00:00+00:00,INF,SLOW,WEAK,NORM,True
2026-03-30 00:00:00+00:00,INF,SLOW,WEAK,NORM,True
2026-04-01 00:00:00+00:00,DIS,OK,OK,NORM,False
