date,nav_pre,nav,ret,turnover,fee_cost,slippage_cost,total_cost,gross_trade_notional,weights,n_positions,top_asset,top_weight
2003-09-29 00:00:00,1000000.0,999770.0314960005,0.0,1.0,114.99150084991501,114.97700314960649,229.9685039995215,999770.0314960005,"{'AGG': 0.15003450321025158, 'SHY': 0.8499654967897484}",2,SHY,0.8499654967897484
2003-09-30 00:00:00,1002298.3192526887,1002298.3192526887,0.002528869316981819,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15043239221394095, 'SHY': 0.8495676077860591}",2,SHY,0.8495676077860591
2003-10-01 00:00:00,1002358.6767691234,1001938.1219684333,-0.00035937133419916556,1.2989585502861503,210.2909079990826,210.2638926909932,420.5548006900758,1301943.9717307175,"{'AGG': 0.6502728318390676, 'SHY': 0.20008394825817463, 'TLT': 0.14964321990275772}",3,AGG,0.6502728318390676
2003-10-02 00:00:00,1000237.6350507817,1000237.6350507817,-0.0016971975418110796,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.650363340782192, 'SHY': 0.20042410756084655, 'TLT': 0.14921255165696132}",3,AGG,0.650363340782192
2003-10-03 00:00:00,991896.5931440833,991896.5931440833,-0.008339060253691466,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6510973153481195, 'SHY': 0.20159589400080946, 'TLT': 0.14730679065107102}",3,AGG,0.6510973153481195
2003-10-06 00:00:00,993627.7305794903,993627.7305794903,0.001745280150544426,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6509209582485401, 'SHY': 0.20139110655122028, 'TLT': 0.14768793520023957}",3,AGG,0.6509209582485401
2003-10-07 00:00:00,989517.0589424076,989517.0589424076,-0.0041370339318985705,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6513806682928784, 'SHY': 0.20203171664758404, 'TLT': 0.14658761505953755}",3,AGG,0.6513806682928784
2003-10-08 00:00:00,991068.6039905115,991068.6039905115,0.0015679821121650228,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6519611020896399, 'SHY': 0.2017154304608737, 'TLT': 0.14632346744948652}",3,AGG,0.6519611020896399
2003-10-09 00:00:00,987732.0700967341,987732.0700967341,-0.003366602352594894,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.651850562233721, 'SHY': 0.20237229399680132, 'TLT': 0.1457771437694777}",3,AGG,0.651850562233721
2003-10-10 00:00:00,992264.1479154625,992264.1479154625,0.00458836759070147,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6524553478206596, 'SHY': 0.20157013296575937, 'TLT': 0.145974519213581}",3,AGG,0.6524553478206596
2003-10-13 00:00:00,988867.4074571762,988867.4074571762,-0.003423221997309933,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.651808602731223, 'SHY': 0.2022871211530194, 'TLT': 0.14590427611575763}",3,AGG,0.651808602731223
2003-10-14 00:00:00,986409.1591142039,986409.1591142039,-0.002485923112071853,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6521450151725514, 'SHY': 0.20259433997031154, 'TLT': 0.14526064485713708}",3,AGG,0.6521450151725514
2003-10-15 00:00:00,983878.0572829042,983878.0572829042,-0.0025659755973602705,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6522104211564855, 'SHY': 0.2028691199229298, 'TLT': 0.14492045892058475}",3,AGG,0.6522104211564855
2003-10-16 00:00:00,981138.1124146385,981138.1124146385,-0.002784841930342785,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.65228522364804, 'SHY': 0.2029658324870551, 'TLT': 0.1447489438649049}",3,AGG,0.65228522364804
2003-10-17 00:00:00,985523.5026914958,985523.5026914958,0.004469697203041578,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.652473825005253, 'SHY': 0.20230890272968607, 'TLT': 0.1452172722650609}",3,AGG,0.652473825005253
2003-10-20 00:00:00,985646.1384205361,985646.1384205361,0.0001244371430060287,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6520058314256779, 'SHY': 0.20230830909954128, 'TLT': 0.1456858594747808}",3,AGG,0.6520058314256779
2003-10-21 00:00:00,987495.7926219185,987495.7926219185,0.0018765905219761958,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6520705758529066, 'SHY': 0.20197857837903746, 'TLT': 0.14595084576805592}",3,AGG,0.6520705758529066
2003-10-22 00:00:00,991975.0933534793,991975.0933534793,0.0045360200671515916,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6520053969748751, 'SHY': 0.20128661401774073, 'TLT': 0.1467079890073841}",3,AGG,0.6520053969748751
2003-10-23 00:00:00,989277.5808829882,989277.5808829882,-0.002719334879035973,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6521791622684049, 'SHY': 0.20178651112785803, 'TLT': 0.14603432660373694}",3,AGG,0.6521791622684049
2003-10-24 00:00:00,994303.7324997362,994303.7324997362,0.005080628242138063,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6520740452568943, 'SHY': 0.2010103313735202, 'TLT': 0.14691562336958547}",3,AGG,0.6520740452568943
2003-10-27 00:00:00,992525.3730356025,992525.3730356025,-0.0017885475091830028,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6519638682961135, 'SHY': 0.20115047923623464, 'TLT': 0.14688565246765184}",3,AGG,0.6519638682961135
2003-10-28 00:00:00,996174.2376685345,996174.2376685345,0.003676343932419668,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6521241509270068, 'SHY': 0.20075464483339525, 'TLT': 0.14712120423959796}",3,AGG,0.6521241509270068
2003-10-29 00:00:00,991780.6458901364,991780.6458901364,-0.004410465169909394,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6521332284626674, 'SHY': 0.20142376753124025, 'TLT': 0.1464430040060924}",3,AGG,0.6521332284626674
2003-10-30 00:00:00,990959.8753311622,990959.8753311622,-0.0008275726718154353,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6526733631015922, 'SHY': 0.20141933145957316, 'TLT': 0.14590730543883476}",3,AGG,0.6526733631015922
2003-10-31 00:00:00,991322.201219414,991322.201219414,0.00036563124024646676,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.6514103743661477, 'SHY': 0.2013703227243693, 'TLT': 0.14721930290948307}",3,AGG,0.6514103743661477
2003-11-03 00:00:00,989358.6291837231,989004.1644490229,-0.0023383283129740917,1.094170969474474,177.22059659493755,177.24413810552383,354.46473470046135,1084675.9739698158,"{'AGG': 0.25008960142622294, 'SHY': 0.7499103985737771}",2,SHY,0.7499103985737771
2003-11-04 00:00:00,990034.4823585114,990034.4823585114,0.0010417730749017196,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.25032306033340807, 'SHY': 0.749676939666592}",2,SHY,0.749676939666592
2003-11-05 00:00:00,989312.2700156439,989312.2700156439,-0.000729482008694271,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.25050579980744114, 'SHY': 0.7494942001925589}",2,SHY,0.7494942001925589
2003-11-06 00:00:00,987155.8404120663,987155.8404120663,-0.002179725925711473,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.24969137838648658, 'SHY': 0.7503086216135134}",2,SHY,0.7503086216135134
2003-11-07 00:00:00,986645.6857202903,986645.6857202903,-0.0005167924565619986,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.24994429526091694, 'SHY': 0.750055704739083}",2,SHY,0.750055704739083
2003-11-10 00:00:00,987290.8802448965,987290.8802448965,0.0006539272749519487,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.2502511639627854, 'SHY': 0.7497488360372146}",2,SHY,0.7497488360372146
2003-11-11 00:00:00,986851.1644506699,986851.1644506699,-0.00044537613283490707,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.24991709493922382, 'SHY': 0.7500829050607761}",2,SHY,0.7500829050607761
2003-11-12 00:00:00,987766.7454557548,987766.7454557548,0.0009277802348184316,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.25015542247723505, 'SHY': 0.7498445775227649}",2,SHY,0.7498445775227649
2003-11-13 00:00:00,991199.9502488233,991199.9502488233,0.003475724212080422,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.2511135238373558, 'SHY': 0.7488864761626443}",2,SHY,0.7488864761626443
2003-11-14 00:00:00,992298.2927963126,991922.0372777948,0.0007284978462622771,1.1988824621850551,188.13913838684067,188.11638013096163,376.25551851780233,1188332.2368720134,"{'AGG': 0.7502844897363736, 'SHY': 0.15005689794727473, 'TLT': 0.0996586123163518}",3,AGG,0.7502844897363736
2003-11-17 00:00:00,995302.673154942,995302.673154942,0.0034081669224981237,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7508915089947454, 'SHY': 0.14963807967075854, 'TLT': 0.0994704113344961}",3,AGG,0.7508915089947454
2003-11-18 00:00:00,995564.5340127493,995564.5340127493,0.0002630967090415659,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7503264377925122, 'SHY': 0.14961679500833885, 'TLT': 0.10005676719914898}",3,AGG,0.7503264377925122
2003-11-19 00:00:00,990684.3076129358,990684.3076129358,-0.004901968916211974,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7504851316950808, 'SHY': 0.15008015576980427, 'TLT': 0.09943471253511486}",3,AGG,0.7504851316950808
2003-11-20 00:00:00,994484.1164558711,994484.1164558711,0.0038355395495170974,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7501872398635867, 'SHY': 0.1497977218178397, 'TLT': 0.10001503831857364}",3,AGG,0.7501872398635867
2003-11-21 00:00:00,995290.6307989962,995290.6307989962,0.0008109876565944862,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7503865473841216, 'SHY': 0.14962168318098257, 'TLT': 0.09999176943489578}",3,AGG,0.7503865473841216
2003-11-24 00:00:00,991134.7673458613,991134.7673458613,-0.004175527553995639,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7503646497250631, 'SHY': 0.15004840579502088, 'TLT': 0.09958694447991602}",3,AGG,0.7503646497250631
2003-11-25 00:00:00,994759.7558265226,994759.7558265226,0.0036574122915378204,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.750567148755087, 'SHY': 0.14966529031479678, 'TLT': 0.09976756093011624}",3,AGG,0.750567148755087
2003-11-26 00:00:00,991492.322361852,991492.322361852,-0.0032846458107422816,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7503154963517588, 'SHY': 0.14999429487663715, 'TLT': 0.09969020877160406}",3,AGG,0.7503154963517588
2003-11-28 00:00:00,989245.4332031875,989245.4332031875,-0.0022661689939385,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.7508382799799782, 'SHY': 0.15015224654043904, 'TLT': 0.0990094734795827}",3,AGG,0.7508382799799782
2003-12-01 00:00:00,986461.9312788195,986028.4689237387,-0.0032519374580606275,1.3948840934653366,216.71838803023886,216.74396705060866,433.4623550808475,1379882.7193083523,"{'AGG': 0.15006594064503337, 'SHY': 0.8499340593549666}",2,SHY,0.8499340593549666
2003-12-02 00:00:00,986905.434098999,986905.434098999,0.0008893913339211856,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.14988808072596924, 'SHY': 0.8501119192740307}",2,SHY,0.8501119192740307
2003-12-03 00:00:00,986335.9595506042,986335.9595506042,-0.0005770305124671582,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1501228229238154, 'SHY': 0.8498771770761846}",2,SHY,0.8498771770761846
2003-12-04 00:00:00,987373.0131599922,987373.0131599922,0.0010514202583269405,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15018733175941223, 'SHY': 0.8498126682405878}",2,SHY,0.8498126682405878
2003-12-05 00:00:00,990778.512388651,990778.512388651,0.003449050341937099,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15042415094842063, 'SHY': 0.8495758490515795}",2,SHY,0.8495758490515795
